% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-5.465000000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +1.831961742e+04 +1.831961742e+04 +1.777311742e+04 +1.777311742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +1.778638176e+04 +1.778638176e+04 +1.723988176e+04 +1.723988176e+04 -2.2251e-02 -6.3627e-01 -2.1709e-01 +5.0123e-01 -1.1262e+00 +1.7774e-01 -1.3028e-02 +4.7382e+00 +1.1591e+00 -3.8251e-01 +5.1129e-01 +7.1150e-01 -3.3301e-01 -3.0219e+00 +3.1397e-01 -3.4542e-01 +4.8201e-01 +4.4841e-03 -7.4092e-01 -5.9905e-01
11 0 +1.626162361e+04 +1.626162361e+04 +1.571512361e+04 +1.571512361e+04 -1.3478e+00 +4.8397e-01 -3.5510e-01 +4.6156e-01 -1.9253e-03 -2.0833e-01 +1.5338e-01 +3.5004e+00 -6.4856e-01 -1.3036e+00 +7.0721e-01 -4.5055e-01 -3.9121e-02 -2.6610e+00 -2.1104e+00 -8.3545e-01 +7.9014e-01 -2.0676e-02 -4.3583e-01 +2.6458e+00
15 0 +1.308280966e+04 +1.308280966e+04 +1.253630966e+04 +1.253630966e+04 -1.0899e-01 -3.8584e-01 -1.5925e-01 +6.0248e-01 -1.5922e+00 +5.1716e-02 -9.5948e-02 +2.8448e+00 +3.3416e-01 +6.1471e-01 +3.7702e-01 +9.3323e-02 -3.1252e-01 -3.1206e+00 +3.0516e-01 -7.7289e-01 +7.2932e-01 -2.1994e-02 -1.1258e+00 -6.7491e-01
18 0 +7.080812004e+03 +7.080812004e+03 +6.534312004e+03 +6.534312004e+03 -3.1601e-01 +1.7340e-01 -4.2338e-01 +3.0109e-01 -1.9254e+00 -1.0867e-01 +9.1207e-02 +3.7272e+00 +7.3435e-01 +1.4916e-01 +1.6773e+00 +5.9279e-02 -2.2904e-01 -3.3183e+00 +1.2298e+00 -2.6393e+00 +5.9483e-01 -1.7739e-02 -2.2978e-01 +1.8662e+00
30 0 +6.259181119e+03 +6.259181119e+03 +5.712681119e+03 +5.712681119e+03 -4.9394e-01 +4.3251e-01 -4.3242e-01 +5.8342e-01 -1.3755e+00 +1.3569e-02 +4.8432e-01 +3.0404e+00 +9.1660e-01 -1.6308e-01 +1.6858e+00 -2.9481e-01 -8.1480e-02 -2.2759e+00 +2.3840e+00 -2.7940e+00 +7.3662e-01 -9.7558e-02 -2.0318e-01 +8.7430e-01
64 0 +5.611172565e+03 +5.611172565e+03 +5.064672565e+03 +5.064672565e+03 -2.5122e+00 +2.5329e+00 -1.1332e+00 -1.7381e-01 +4.8660e-01 -1.3533e-01 +1.4736e-01 +3.9424e+00 -2.0770e-01 -1.0514e+00 +2.0704e+00 +6.6306e-01 -4.1056e-01 -1.7657e+00 +2.8809e+00 -7.4527e-01 +5.6858e-01 -2.5636e-02 -1.0522e+00 +7.9413e-01
65 0 +3.106333385e+03 +3.106333385e+03 +2.559833385e+03 +2.559833385e+03 -1.7348e+00 +2.5914e+00 -7.7603e-01 +2.6941e-01 -4.7767e-01 -1.6949e-01 +1.3124e-02 +2.6861e+00 -2.1670e-01 -5.3838e-01 +2.1228e+00 +6.3519e-02 -4.8030e-01 -2.9637e+00 +2.9365e-01 -9.6862e-01 +8.9603e-01 -1.2489e-01 -7.6773e-01 +1.0985e+00
276 0 +3.017212140e+03 +3.017212140e+03 +2.470712140e+03 +2.470712140e+03 -3.7967e-01 +1.5502e+00 -1.2082e+00 +5.5277e-01 +3.7949e-01 +5.0749e-03 -4.7255e-01 +2.7514e+00 -4.1086e-02 +6.2037e-01 +2.7425e+00 +1.0623e+00 -6.2012e-01 -1.2987e+00 +9.2938e-01 -1.6281e+00 +1.1968e+00 +1.1411e-01 -2.5860e+00 +1.0407e+00
279 0 +2.473728341e+03 +2.473728341e+03 +1.927228341e+03 +1.927228341e+03 -4.9082e-01 +2.0104e+00 -1.4244e+00 +2.7730e-01 +6.0001e-01 -5.7049e-02 -4.1900e-01 +2.8579e+00 +1.8868e-01 +8.2355e-01 +2.6765e+00 +1.1398e+00 -5.7161e-01 -2.3164e+00 +8.5204e-01 -1.8048e+00 +1.3012e+00 +6.1246e-02 -2.7191e+00 +1.7791e+00
288 0 +2.400083040e+03 +2.400083040e+03 +1.853583040e+03 +1.853583040e+03 -5.1264e-01 +1.6725e+00 -1.4229e+00 +3.3889e-01 +7.9466e-02 +1.9976e-02 -4.7848e-01 +3.0596e+00 +5.3575e-02 +8.4570e-01 +2.5300e+00 +1.2711e+00 -5.6713e-01 -2.5909e+00 +1.0039e+00 -1.7613e+00 +1.2372e+00 +3.1679e-02 -2.7923e+00 +1.8110e+00
289 0 +2.381650941e+03 +2.381650941e+03 +1.835150941e+03 +1.835150941e+03 -3.4065e-01 +1.8596e+00 -1.1068e+00 +3.4771e-01 +3.3582e-01 -4.2499e-02 -5.2603e-01 +2.6006e+00 +2.9381e-01 +9.6074e-01 +2.7372e+00 +1.2643e+00 -5.8867e-01 -1.4573e+00 +1.1369e+00 -2.2139e+00 +1.3785e+00 +6.2055e-02 -2.8266e+00 +1.6938e+00
294 0 +2.313791534e+03 +2.313791534e+03 +1.767291534e+03 +1.767291534e+03 -3.1705e-01 +1.5265e+00 -1.2769e+00 +2.7364e-01 +2.5434e-01 +6.7498e-03 -5.6920e-01 +1.4796e+00 +1.7681e-01 +8.0540e-01 +2.6171e+00 +1.3524e+00 -5.2545e-01 -2.6910e+00 +1.2092e+00 -2.2881e+00 +1.1405e+00 +3.5499e-02 -2.5541e+00 +1.7121e+00
300 0 +2.089501451e+03 +2.089501451e+03 +1.543001451e+03 +1.543001451e+03 -3.3015e-01 +1.5354e+00 -1.1791e+00 +6.6208e-01 +4.1766e-02 +1.3161e-02 -5.1548e-01 +3.0637e+00 +1.8224e-01 +1.1768e+00 +2.5801e+00 +1.6016e+00 -5.6768e-01 -2.4532e+00 +1.4090e+00 -2.4213e+00 +1.2222e+00 -5.5446e-03 -2.7775e+00 +1.6797e+00
313 0 +1.871702220e+03 +1.871702220e+03 +1.325202220e+03 +1.325202220e+03 -4.2499e-01 +1.5319e+00 -1.1790e+00 +8.0502e-01 -3.9799e-01 +2.5701e-02 -5.3435e-01 +2.6148e+00 +2.4503e-01 +1.2017e+00 +2.5021e+00 +1.4881e+00 -5.2156e-01 -1.5386e+00 +6.5537e-01 -2.6313e+00 +1.1116e+00 -5.8080e-02 -2.3724e+00 +2.2087e+00
325 0 +1.823376360e+03 +1.823376360e+03 +1.276876360e+03 +1.276876360e+03 -4.3102e-01 +1.6053e+00 -1.2697e+00 +7.9967e-01 -4.4696e-01 +4.1752e-02 -6.1583e-01 +2.3436e+00 +2.5783e-01 +1.1882e+00 +2.4565e+00 +1.3951e+00 -4.8331e-01 -1.3285e+00 +4.1777e-01 -2.4945e+00 +1.1334e+00 -5.5458e-02 -2.3800e+00 +2.0856e+00
346 0 +1.803971472e+03 +1.803971472e+03 +1.257471472e+03 +1.257471472e+03 -4.9745e-01 +1.7109e+00 -1.3699e+00 +7.3337e-01 -5.8262e-01 +1.9857e-02 -6.2372e-01 +1.7666e+00 +2.4319e-01 +1.3181e+00 +2.6356e+00 +1.5054e+00 -4.7533e-01 -1.3404e+00 +4.5735e-01 -2.5798e+00 +1.1321e+00 -4.9868e-02 -2.1769e+00 +1.8801e+00
361 0 +1.772914015e+03 +1.772914015e+03 +1.226414015e+03 +1.226414015e+03 -4.0595e-01 +1.5656e+00 -1.2726e+00 +6.6852e-01 -8.9805e-01 +4.7439e-02 -6.1031e-01 +2.7429e+00 +1.9356e-01 +1.5317e+00 +2.5966e+00 +1.5955e+00 -4.7066e-01 -8.1588e-01 +1.1355e+00 -2.4855e+00 +1.1475e+00 -4.4639e-02 -1.9685e+00 +2.0700e+00
